trial,round,phase,acc_after,acc_before,alpha_mean,avg_forgetting,bwt,contribution_ratio,eval_acc,eval_loss,expanded_depth,expanded_width,expansion_g,incorp_accepted,incorp_active_adapters,incorp_candidacies_proposed,incorp_candidacy_pending,incorp_confirmed,incorp_last_vote_favorable_fraction,incorp_monitoring,incorp_rejected,incorp_reverted,num_classes_seen,partition_id,server_eval_acc,server_eval_loss,train_loss,vote,worst_class_bwt,worst_class_bwt_id,worst_class_forgetting,worst_class_forgetting_id
trial_0001,58,train,,,0.2512654424347776,,,0.080319437574833,,,0.0,0.0,0.016435798085690973,2,0,20,1,0,0.5,0,17,2,,,,,0.11734931389702127,,,,,
trial_0001,58,eval,0.5263157894736842,0.5263157894736842,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
trial_0001,58,global,,,,0.2713237720381823,-0.01962770247126884,,,,,,,2,0,20,0,0,0.0,0,18,2,27,,0.1238390092879257,12.234397883459511,,,-0.8,1,0.8,1
trial_0001,59,train,,,0.2512979995697102,,,0.07960394849168492,,,0.0,0.0,0.02046247780858044,2,0,21,1,0,0.0,0,18,2,,,,,0.14137151187404673,,,,,
trial_0001,59,eval,0.5263157894736842,0.47368421052631576,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.2631578947368421,,,,
trial_0001,59,global,,,,0.2698232753808859,-0.01766995844314484,,,,,,,2,0,21,0,0,0.25,0,19,2,27,,0.12755417956656348,12.315144454436405,,,-0.8,1,0.8,1
trial_0001,60,train,,,0.2513390928506851,,,0.08346735543393075,,,0.0,0.0,0.016813498117435884,2,0,22,1,0,0.25,0,19,2,,,,,0.1193728390090326,,,,,
trial_0001,60,eval,0.5263157894736842,0.5263157894736842,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.15789473684210525,,,,
trial_0001,60,global,,,,0.2753290959470291,-0.02115557698908601,,,,,,,2,0,22,0,0,0.25,0,20,2,27,,0.12074303405572756,11.534303283691406,,,-0.8,1,0.8,1
trial_0001,61,train,,,0.251362865909617,,,0.07928375868087119,,,0.0,0.0,0.02071186050554698,2,0,22,0,0,0.25,0,20,2,,,,,0.1018259484162356,,,,,
trial_0001,61,eval,,,,,,,0.6842105263157894,1.9612229446831502,,,,,,,,,,,,,,,,,,,,,,
trial_0001,61,global,,,,0.28082617901154105,-0.02665266005359798,,,,,,,2,0,22,0,0,0.25,0,20,2,27,,0.1195046439628483,12.353776318812887,,,-0.8,1,0.8,1
trial_0001,62,train,,,0.25141020467940794,,,0.08446412644487747,,,0.0,0.0,0.014656649346889416,2,0,22,0,0,0.25,0,20,2,,,,,0.09557713911412877,,,,,
trial_0001,62,eval,,,,,,,0.5789473684210527,1.898145700755872,,,,,,,,,,,,,,,,,,,,,,
trial_0001,62,global,,,,0.2805622638444445,-0.026388744886501433,,,,,,,2,0,22,0,0,0.25,0,20,2,27,,0.11455108359133127,11.400160477109738,,,-0.8,1,0.8,1
trial_0001,63,train,,,0.2514413144994289,,,0.07946019223395814,,,0.0,0.0,0.018965441710872954,2,0,23,1,0,0.25,0,20,2,,,,,0.08551077096861728,,,,,
trial_0001,63,eval,0.5263157894736842,0.47368421052631576,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.15789473684210525,,,,
trial_0001,63,global,,,,0.2750563487598019,-0.020882829801858797,,,,,,,2,0,23,0,0,0.25,0,21,2,27,,0.1238390092879257,12.32869963276866,,,-0.8,1,0.8,1
trial_0001,64,train,,,0.2514680544746683,,,0.08166797871285296,,,0.0,0.0,0.012764383842728964,2,0,23,0,0,0.25,0,21,2,,,,,0.07518644731967372,,,,,
trial_0001,64,eval,,,,,,,0.631578947368421,1.8366581852498807,,,,,,,,,,,,,,,,,,,,,,
trial_0001,64,global,,,,0.2815877993312145,-0.026067479026470004,,,,,,,2,0,23,0,0,0.25,0,21,2,27,,0.11578947368421053,11.580559646086796,,,-0.8,1,0.8,1
trial_0001,65,train,,,0.2514818754601986,,,0.07820000800680607,,,0.0,0.0,0.014756852005326011,2,0,23,0,0,0.25,0,21,2,,,,,0.06467295235934409,,,,,
trial_0001,65,eval,,,,,,,0.6842105263157895,1.8930826481235654,,,,,,,,,,,,,,,,,,,,,,
trial_0001,65,global,,,,0.2767421667535765,-0.021221846448832047,,,,,,,2,0,23,0,0,0.25,0,21,2,27,,0.12260061919504645,12.307527037818366,,,-0.8,1,0.8,1
trial_0001,66,train,,,0.25150664372647064,,,0.07909111963941695,,,0.0,0.0,0.011554649077848771,2,0,24,1,0,0.25,0,21,2,,,,,0.06340433853341544,,,,,
trial_0001,66,eval,0.47368421052631576,0.5789473684210527,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
trial_0001,66,global,,,,0.278234891821175,-0.022714571516430533,,,,,,,2,0,24,0,0,0.0,0,22,2,27,,0.11888544891640866,11.84942403503985,,,-0.8,1,0.8,1
trial_0001,67,train,,,0.2515106936718555,,,0.0761332448492659,,,0.0,0.0,0.012645386878377511,2,0,25,1,0,0.0,0,22,2,,,,,0.05739438426383633,,,,,
