trial,round,class_id,acc,bwt,forgetting,n
trial_0001,33,22,0.24561403508771928,-0.5964912280701754,0.5964912280701754,57
trial_0001,33,23,0.3695652173913043,0.2608695652173913,0.13043478260869568,46
trial_0001,33,24,0.25,0.25,0.47916666666666663,48
trial_0001,33,25,0.4567901234567901,0.4567901234567901,0.024691358024691357,81
trial_0001,33,26,0.2328767123287671,0.2328767123287671,0.1095890410958904,73
trial_0001,34,0,0.0,-0.37254901960784315,0.47058823529411764,51
trial_0001,34,1,0.0,-0.8,0.8,45
trial_0001,34,2,0.0,0.0,0.0196078431372549,51
trial_0001,34,3,0.0,-0.07407407407407407,0.14814814814814814,54
trial_0001,34,4,0.0,0.0,0.46938775510204084,49
trial_0001,34,5,0.0,0.0,0.1320754716981132,53
trial_0001,34,6,0.0,0.0,0.21153846153846154,52
trial_0001,34,7,0.0,0.0,0.017241379310344827,58
trial_0001,34,8,0.0,0.0,0.16129032258064516,62
trial_0001,34,9,0.0,-0.5757575757575758,0.5757575757575758,66
trial_0001,34,10,0.0,-0.028169014084507043,0.04225352112676056,71
trial_0001,34,11,0.0,-0.014705882352941176,0.10294117647058823,68
trial_0001,34,12,0.0,-0.05555555555555555,0.18518518518518517,54
trial_0001,34,13,0.0,-0.045454545454545456,0.15151515151515152,66
trial_0001,34,14,0.0,-0.13333333333333333,0.13333333333333333,60
trial_0001,34,15,0.0,-0.037037037037037035,0.6481481481481481,54
trial_0001,34,16,0.0,-0.09859154929577464,0.6901408450704225,71
trial_0001,34,17,0.0,-0.13333333333333333,0.26666666666666666,60
trial_0001,34,18,0.4393939393939394,-0.015151515151515138,0.5303030303030303,66
trial_0001,34,19,0.34615384615384615,0.34615384615384615,0.1923076923076923,52
trial_0001,34,20,0.21739130434782608,0.21739130434782608,0.1630434782608696,92
trial_0001,34,21,0.07272727272727272,0.07272727272727272,0.0,55
trial_0001,34,22,0.3684210526315789,-0.47368421052631576,0.47368421052631576,57
trial_0001,34,23,0.41304347826086957,0.30434782608695654,0.08695652173913043,46
trial_0001,34,24,0.14583333333333334,0.14583333333333334,0.5833333333333333,48
trial_0001,34,25,0.4074074074074074,0.4074074074074074,0.07407407407407407,81
trial_0001,34,26,0.2465753424657534,0.2465753424657534,0.0958904109589041,73
trial_0001,35,0,0.0,-0.37254901960784315,0.47058823529411764,51
trial_0001,35,1,0.0,-0.8,0.8,45
trial_0001,35,2,0.0,0.0,0.0196078431372549,51
trial_0001,35,3,0.0,-0.07407407407407407,0.14814814814814814,54
trial_0001,35,4,0.0,0.0,0.46938775510204084,49
trial_0001,35,5,0.0,0.0,0.1320754716981132,53
trial_0001,35,6,0.0,0.0,0.21153846153846154,52
trial_0001,35,7,0.0,0.0,0.017241379310344827,58
trial_0001,35,8,0.0,0.0,0.16129032258064516,62
trial_0001,35,9,0.0,-0.5757575757575758,0.5757575757575758,66
trial_0001,35,10,0.0,-0.028169014084507043,0.04225352112676056,71
trial_0001,35,11,0.0,-0.014705882352941176,0.10294117647058823,68
trial_0001,35,12,0.0,-0.05555555555555555,0.18518518518518517,54
trial_0001,35,13,0.0,-0.045454545454545456,0.15151515151515152,66
trial_0001,35,14,0.0,-0.13333333333333333,0.13333333333333333,60
trial_0001,35,15,0.0,-0.037037037037037035,0.6481481481481481,54
trial_0001,35,16,0.0,-0.09859154929577464,0.6901408450704225,71
trial_0001,35,17,0.0,-0.13333333333333333,0.26666666666666666,60
trial_0001,35,18,0.48484848484848486,0.03030303030303033,0.48484848484848486,66
trial_0001,35,19,0.36538461538461536,0.36538461538461536,0.17307692307692307,52
trial_0001,35,20,0.22826086956521738,0.22826086956521738,0.1521739130434783,92
trial_0001,35,21,0.07272727272727272,0.07272727272727272,0.0,55
trial_0001,35,22,0.2631578947368421,-0.5789473684210527,0.5789473684210527,57
trial_0001,35,23,0.3695652173913043,0.2608695652173913,0.13043478260869568,46
trial_0001,35,24,0.125,0.125,0.6041666666666666,48
trial_0001,35,25,0.48148148148148145,0.48148148148148145,0.0,81
trial_0001,35,26,0.2602739726027397,0.2602739726027397,0.0821917808219178,73
trial_0001,36,0,0.0,-0.37254901960784315,0.47058823529411764,51
trial_0001,36,1,0.0,-0.8,0.8,45
trial_0001,36,2,0.0,0.0,0.0196078431372549,51
trial_0001,36,3,0.0,-0.07407407407407407,0.14814814814814814,54
trial_0001,36,4,0.0,0.0,0.46938775510204084,49
trial_0001,36,5,0.0,0.0,0.1320754716981132,53
trial_0001,36,6,0.0,0.0,0.21153846153846154,52
trial_0001,36,7,0.0,0.0,0.017241379310344827,58
trial_0001,36,8,0.0,0.0,0.16129032258064516,62
trial_0001,36,9,0.0,-0.5757575757575758,0.5757575757575758,66
trial_0001,36,10,0.0,-0.028169014084507043,0.04225352112676056,71
trial_0001,36,11,0.0,-0.014705882352941176,0.10294117647058823,68
trial_0001,36,12,0.0,-0.05555555555555555,0.18518518518518517,54
trial_0001,36,13,0.0,-0.045454545454545456,0.15151515151515152,66
trial_0001,36,14,0.0,-0.13333333333333333,0.13333333333333333,60
trial_0001,36,15,0.0,-0.037037037037037035,0.6481481481481481,54
trial_0001,36,16,0.0,-0.09859154929577464,0.6901408450704225,71
