hyperparameter,value,metric,mean,n,std
theta-exp,0.1,bwt,-0.008123389088789429,5,0.0031149529464658617
theta-exp,0.15,bwt,-0.00998535318329674,5,0.005418818708657218
theta-exp,0.25,bwt,-0.007296710260399351,5,0.0035672565410988922
theta-exp,0.35,bwt,-0.00527214075672403,5,0.004382102788146707
theta-exp,0.05,round,90.0,4,0.0
theta-exp,0.1,round,90.0,5,0.0
theta-exp,0.15,round,90.0,5,0.0
theta-exp,0.25,round,90.0,5,0.0
theta-exp,0.35,round,90.0,5,0.0
theta-exp,0.05,server_eval_acc,0.1371517027863777,4,0.0038544580798726695
theta-exp,0.1,server_eval_acc,0.13770897832817336,5,0.0031475579014585355
theta-exp,0.15,server_eval_acc,0.13560371517027864,5,0.004938056232167651
theta-exp,0.25,server_eval_acc,0.13795665634674922,5,0.0031911080437709276
theta-exp,0.35,server_eval_acc,0.1388235294117647,5,0.006798750331299466
theta-exp,0.05,server_eval_loss,13.607514044227246,4,0.4308858118562766
theta-exp,0.1,server_eval_loss,13.73623815199908,5,0.47470760629133646
theta-exp,0.15,server_eval_loss,13.966690742799742,5,0.5474613639703089
theta-exp,0.25,server_eval_loss,14.043811141920532,5,0.6118787006482289
theta-exp,0.35,server_eval_loss,13.833951494435407,5,0.44110716795465943
theta-exp,0.05,worst_class_bwt,-0.8,4,0.0
theta-exp,0.1,worst_class_bwt,-0.8,5,0.0
theta-exp,0.15,worst_class_bwt,-0.8,5,0.0
theta-exp,0.25,worst_class_bwt,-0.8,5,0.0
theta-exp,0.35,worst_class_bwt,-0.8,5,0.0
theta-exp,0.05,worst_class_bwt_id,1.0,4,0.0
theta-exp,0.1,worst_class_bwt_id,1.0,5,0.0
theta-exp,0.15,worst_class_bwt_id,1.0,5,0.0
theta-exp,0.25,worst_class_bwt_id,1.0,5,0.0
theta-exp,0.35,worst_class_bwt_id,1.0,5,0.0
theta-exp,0.05,worst_class_forgetting,0.8,4,0.0
theta-exp,0.1,worst_class_forgetting,0.8,5,0.0
theta-exp,0.15,worst_class_forgetting,0.8,5,0.0
theta-exp,0.25,worst_class_forgetting,0.8,5,0.0
theta-exp,0.35,worst_class_forgetting,0.8,5,0.0
theta-exp,0.05,worst_class_forgetting_id,1.0,4,0.0
theta-exp,0.1,worst_class_forgetting_id,1.0,5,0.0
theta-exp,0.15,worst_class_forgetting_id,1.0,5,0.0
theta-exp,0.25,worst_class_forgetting_id,1.0,5,0.0
theta-exp,0.35,worst_class_forgetting_id,1.0,5,0.0
