trial,local-epochs,lambda-kd,tau,theta-exp,theta-alpha,dirichlet-alpha,classes-per-step,candidacy-quorum,incorporation-degrade-tolerance,vote-margin,trial_dir,avg_inc_acc,round,server_eval_acc,server_eval_loss,bwt,avg_forgetting,worst_class_forgetting,worst_class_forgetting_id,worst_class_bwt,worst_class_bwt_id,status
trial_0020,5,0.5,250,0.1,0.05,0.3,9,0.4,0.01,0.01,/FedProtoContinual/outputs/grid_search/trial_0020,0.14889576883384933,90,0.13622291021671826,13.770611302992878,-0.0029779903628633425,0.25163782246096733,0.8,1,-0.8,1,ok
trial_0021,5,0.5,250,0.1,0.05,0.3,9,0.6,0.002,0.01,/FedProtoContinual/outputs/grid_search/trial_0021,0.14837039121868842,90,0.14055727554179567,14.15388119346217,-0.004215258413991647,0.24895787592124444,0.8,1,-0.8,1,ok
trial_0022,5,0.5,250,0.1,0.05,0.3,9,0.5,0.01,0.01,/FedProtoContinual/outputs/grid_search/trial_0022,0.1466479031804109,90,0.14241486068111456,14.255206827925456,-0.0025658370011847806,0.2441616663960144,0.8,1,-0.8,1,ok
trial_0023,5,0.5,250,0.1,0.05,0.3,9,0.6,0.01,0.001,/FedProtoContinual/outputs/grid_search/trial_0023,0.1476386152547143,90,0.13808049535603714,14.51761570508266,-0.009080641764943227,0.2523387491230947,0.8,1,-0.8,1,ok
trial_0024,5,0.5,250,0.1,0.05,0.3,9,0.3,0.01,0.005,/FedProtoContinual/outputs/grid_search/trial_0024,0.14939112487100104,90,0.13746130030959752,13.800014309248319,-0.005546883547351222,0.2758660761004546,0.8,1,-0.8,1,ok
trial_0025,5,0.5,250,0.1,0.05,0.3,9,0.3,0.05,0.001,/FedProtoContinual/outputs/grid_search/trial_0025,0.14713200112580918,90,0.13993808049535603,14.067307198822682,-0.0016741725074241787,0.2677028622957933,0.8,1,-0.8,1,ok
trial_0026,5,0.5,250,0.1,0.05,0.3,9,0.3,0.01,0.001,/FedProtoContinual/outputs/grid_search/trial_0026,0.1461750633267661,90,0.13993808049535603,14.270521975301737,-0.001965526859006631,0.251614970925842,0.8,1,-0.8,1,ok
trial_0027,5,0.5,250,0.1,0.05,0.3,9,0.6,0.05,0.001,/FedProtoContinual/outputs/grid_search/trial_0027,0.14805141195234073,90,0.14055727554179567,12.937912917949097,-0.00801904454261145,0.24408429544726803,0.8,1,-0.8,1,ok
trial_0028,5,0.5,250,0.1,0.05,0.3,9,0.3,0.05,0.005,/FedProtoContinual/outputs/grid_search/trial_0028,0.14611126747349656,90,0.1306501547987616,14.302183107547346,-0.015642330779766733,0.2587941750471488,0.8,1,-0.8,1,ok
trial_0029,5,0.5,250,0.1,0.05,0.3,9,0.4,0.01,0.001,/FedProtoContinual/outputs/grid_search/trial_0029,0.1484829721362229,90,0.13808049535603714,13.819875673465315,-0.0013174503539240157,0.2446111624374834,0.8,1,-0.8,1,ok
